,numberFire,,Ranks,,Passing,,,,Rushing,,,Receiving,,,
Player,FP,CI,Ovr.,Pos.,C/A,Yds,TDs,Ints,Att,Yds,TDs,Rec,Tgt,Yds,TDs
"Josh Allen J. Allen(QB, BUF)",393.57,"360.93 - 426.21",#1,#1,"387.70 / 610.64",4558.55,33.42,14.04,129.51,678.86,7.58,0.00,0.00,0.00,0.00
"Jalen Hurts J. Hurts(QB, PHI)",387.50,"354.92 - 420.08",#2,#2,"350.11 / 531.04",4028.34,25.01,9.67,167.04,857.23,11.11,0.00,0.00,0.00,0.00
"Patrick Mahomes P. Mahomes(QB, KC)",372.48,"340.06 - 404.9",#3,#3,"426.23 / 644.63",4935.58,38.78,11.26,62.74,305.68,3.15,0.00,0.00,0.00,0.00
"Lamar Jackson L. Jackson(QB, BAL)",365.90,"333.55 - 398.25",#4,#4,"315.37 / 492.53",3560.71,26.27,9.99,170.37,977.27,7.43,0.00,0.00,0.00,0.00
"Joe Burrow J. Burrow(QB, CIN)",331.23,"299.29 - 363.17",#5,#5,"425.29 / 634.54",4625.69,33.71,13.14,61.02,257.48,2.53,0.00,0.00,0.00,0.00
"Justin Herbert J. Herbert(QB, LAC)",320.29,"288.48 - 352.1",#6,#6,"423.59 / 631.10",4749.40,29.21,11.73,59.95,274.25,1.86,0.00,0.00,0.00,0.00
"Justin Fields J. Fields(QB, CHI)",319.02,"287.23 - 350.81",#7,#7,"255.31 / 404.24",2858.18,21.76,12.46,189.77,1048.88,8.38,0.00,0.00,0.00,0.00
"Trevor Lawrence T. Lawrence(QB, JAC)",305.90,"274.28 - 337.52",#8,#8,"395.07 / 595.76",4328.99,27.66,9.11,62.81,286.76,3.11,0.00,0.00,0.00,0.00
"Deshaun Watson D. Watson(QB, CLE)",299.23,"267.69 - 330.77",#9,#9,"324.43 / 497.21",3897.13,22.78,9.05,113.23,545.72,3.63,0.00,0.00,0.00,0.00
"Dak Prescott D. Prescott(QB, DAL)",298.28,"266.76 - 329.8",#10,#10,"370.05 / 567.39",4122.92,31.76,13.80,61.39,283.30,2.37,0.00,0.00,0.00,0.00
"Tua Tagovailoa T. Tagovailoa(QB, MIA)",293.52,"262.06 - 324.98",#11,#11,"384.63 / 595.67",4463.19,29.81,11.91,32.06,143.04,1.29,0.00,0.00,0.00,0.00
"Daniel Jones D. Jones(QB, NYG)",293.48,"262.02 - 324.94",#12,#12,"355.42 / 541.20",3584.65,21.20,11.96,121.86,613.73,5.50,0.00,0.00,0.00,0.00
"Geno Smith G. Smith(QB, SEA)",293.10,"261.64 - 324.56",#13,#13,"391.44 / 582.15",4220.14,27.37,11.54,61.64,297.02,2.27,0.00,0.00,0.00,0.00
"Anthony Richardson A. Richardson(QB, IND)",287.69,"256.31 - 319.07",#14,#14,"308.51 / 486.67",3340.10,17.66,11.24,153.92,832.31,5.64,0.00,0.00,0.00,0.00
"Jared Goff J. Goff(QB, DET)",287.20,"255.83 - 318.57",#15,#15,"390.13 / 601.22",4448.75,30.77,12.92,22.65,90.39,1.11,0.00,0.00,0.00,0.00
"Russell Wilson R. Wilson(QB, DEN)",287.03,"255.66 - 318.4",#16,#16,"353.48 / 552.91",3978.20,27.77,10.24,63.42,295.85,2.07,0.00,0.00,0.00,0.00
"Kirk Cousins K. Cousins(QB, MIN)",285.60,"254.25 - 316.95",#17,#17,"413.01 / 630.28",4455.30,31.79,13.36,22.94,94.63,0.85,0.00,0.00,0.00,0.00
"Aaron Rodgers A. Rodgers(QB, NYJ)",279.99,"248.72 - 311.26",#18,#18,"370.12 / 562.88",3951.46,29.54,7.87,33.84,152.85,1.21,0.00,0.00,0.00,0.00
"Jordan Love J. Love(QB, GB)",267.17,"236.09 - 298.25",#19,#19,"360.04 / 569.44",3941.74,25.73,12.53,53.23,234.85,2.18,0.00,0.00,0.00,0.00
"Christian McCaffrey C. McCaffrey(RB, SF)",264.44,"229.71 - 299.17",#20,#1,"0.00 / 0.00",0.00,0.00,0.00,230.57,1068.09,9.76,87.08,119.36,676.13,5.39
"Nick Chubb N. Chubb(RB, CLE)",260.66,"226.23 - 295.09",#21,#2,"0.00 / 0.00",0.00,0.00,0.00,350.46,1735.11,11.38,23.67,32.33,184.10,0.94
"Matthew Stafford M. Stafford(QB, LA)",253.41,"222.53 - 284.29",#22,#20,"358.24 / 538.56",4090.37,25.56,13.68,27.57,123.35,0.91,0.00,0.00,0.00,0.00
"Tony Pollard T. Pollard(RB, DAL)",252.43,"218.66 - 286.2",#23,#3,"0.00 / 0.00",0.00,0.00,0.00,294.72,1396.01,10.72,45.91,62.42,353.42,2.52
"Derek Carr D. Carr(QB, NO)",252.13,"221.28 - 282.98",#24,#21,"357.18 / 538.17",4121.45,24.00,13.02,34.33,155.33,1.35,0.00,0.00,0.00,0.00
"Kenny Pickett K. Pickett(QB, PIT)",251.44,"220.59 - 282.29",#25,#22,"351.33 / 543.82",3675.61,21.78,11.86,67.36,297.54,2.62,0.00,0.00,0.00,0.00
"Bryce Young B. Young(QB, CAR)",251.05,"220.22 - 281.88",#26,#23,"350.53 / 547.05",3636.14,23.65,12.14,62.59,284.52,1.98,0.00,0.00,0.00,0.00
"Jimmy Garoppolo J. Garoppolo(QB, LV)",250.11,"219.29 - 280.93",#27,#24,"380.92 / 576.42",3845.10,25.28,11.41,34.20,134.72,1.59,0.00,0.00,0.00,0.00
"Brock Purdy B. Purdy(QB, SF)",248.27,"217.48 - 279.06",#28,#25,"351.66 / 542.62",3742.75,25.77,13.34,40.09,176.40,1.26,0.00,0.00,0.00,0.00
"Saquon Barkley S. Barkley(RB, NYG)",247.62,"214.23 - 281.01",#29,#4,"0.00 / 0.00",0.00,0.00,0.00,302.23,1372.18,10.70,54.11,73.05,339.33,2.22
