Name,ID,Pos,Roster Position,Team,Points,Salary
Josh Allen,20955368,QB,CPT,BUF,32.64,19200
Stefon Diggs,20955369,WR,CPT,BUF,24.93,15900
Damien Harris,20955370,RB,CPT,NE,13.74,15600
Devin Singletary,20955371,RB,CPT,BUF,17.505,14400
Mac Jones,20955372,QB,CPT,NE,21.42,13200
Jakobi Meyers,20955373,WR,CPT,NE,15.15,11100
Dawson Knox,20955374,TE,CPT,BUF,10.86,9900
Cole Beasley,20955375,WR,CPT,BUF,14.4,9600
Hunter Henry,20955376,TE,CPT,NE,11.475,9300
Emmanuel Sanders,20955381,WR,CPT,BUF,10.71,8400
Kendrick Bourne,20955382,WR,CPT,NE,10.05,7800
Rhamondre Stevenson,20955383,RB,CPT,NE,12.315,7500
Brandon Bolden,20955385,RB,CPT,NE,7.185,6900
Gabriel Davis,20955386,WR,CPT,BUF,6.99,6600
Nick Folk,20955388,K,CPT,NE,11.7,6300
Tyler Bass,20955389,K,CPT,BUF,12.45,6000
Nelson Agholor,20955391,WR,CPT,NE,12.825,3900
Zack Moss,20955392,RB,CPT,BUF,6.795,3000
Isaiah McKenzie,20955393,WR,CPT,BUF,5.475,2400
Jonnu Smith,20955394,TE,CPT,NE,9.06,1500
N'Keal Harry,20955402,WR,CPT,NE,3.945,300
Josh Allen,20955419,QB,FLEX,BUF,21.76,12800
Stefon Diggs,20955420,WR,FLEX,BUF,16.62,10600
Damien Harris,20955421,RB,FLEX,NE,9.16,10400
Devin Singletary,20955422,RB,FLEX,BUF,11.67,9600
Mac Jones,20955423,QB,FLEX,NE,14.28,8800
Jakobi Meyers,20955424,WR,FLEX,NE,10.1,7400
Dawson Knox,20955425,TE,FLEX,BUF,7.24,6600
Cole Beasley,20955426,WR,FLEX,BUF,9.6,6400
Hunter Henry,20955427,TE,FLEX,NE,7.65,6200
Emmanuel Sanders,20955432,WR,FLEX,BUF,7.14,5600
Kendrick Bourne,20955433,WR,FLEX,NE,6.7,5200
Rhamondre Stevenson,20955434,RB,FLEX,NE,8.21,5000
Brandon Bolden,20955436,RB,FLEX,NE,4.79,4600
Gabriel Davis,20955437,WR,FLEX,BUF,4.66,4400
Nick Folk,20955439,K,FLEX,NE,7.8,4200
Tyler Bass,20955440,K,FLEX,BUF,8.3,4000
Nelson Agholor,20955442,WR,FLEX,NE,8.55,2600
Zack Moss,20955443,RB,FLEX,BUF,4.53,2000
Isaiah McKenzie,20955444,WR,FLEX,BUF,3.65,1600
Jonnu Smith,20955445,TE,FLEX,NE,6.04,1000
N'Keal Harry,20955453,WR,FLEX,NE,2.63,200
Bills,20955384,DST,CPT,BUF,10.335,7200
Bills,20955435,DST,FLEX,BUF,6.89,4800
Patriots,20955390,DST,CPT,NE,9.435,5100
Patriots,20955441,DST,FLEX,NE,6.29,3400
